student_id,Academic Readiness Score,College Intent Score,College App Status,FAFSA Completion,Advising Touchpoints,First-Gen Flag,Barriers Flag
S001,75,92,42,False,0,False,True
S002,67,70,86,False,2,True,False
S003,98,85,76,True,2,True,True
S004,95,70,92,True,1,True,False
S005,62,85,35,True,1,False,False
S006,65,66,3,True,3,True,True
S007,81,70,16,True,1,True,False
S008,66,63,17,False,0,True,False
S009,68,75,59,False,1,False,True
S010,93,68,69,True,0,False,True
S011,63,59,8,False,0,True,True
S012,62,81,65,False,1,True,True
S013,69,95,51,True,2,True,False
S014,93,80,39,False,2,False,False
S015,72,89,78,False,1,False,False
